 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
355 S82sub8_59.12_cand4475 Unknown Unknown Unknown Unknown
356 S82sub8_59.12_cand6861 Unknown Unknown Unknown Unknown
357 S82sub8_59.12_cand6985 Unknown Unknown Unknown Unknown
358 S82sub8_59.12_cand6701 Unknown Unknown Unknown Unknown
359 S82sub8_59.12_cand3328 Unknown Unknown Unknown Unknown
360 S82sub8_59.12_cand6382 Unknown Unknown Unknown Unknown
361 S82sub8_59.12_cand6131 Unknown Unknown Unknown Unknown
362 S82sub8_59.12_cand3282 Unknown Unknown Unknown Unknown
363 S82sub8_59.12_cand4017 Unknown Unknown Unknown Unknown
364 S82sub8_59.12_cand6504 Unknown Unknown Unknown Unknown
365 S82sub8_59.12_cand2648 Unknown Unknown Unknown Unknown
366 S82sub8_59.12_cand3234 Unknown Unknown Unknown Unknown
367 S82sub8_59.12_cand1769 Unknown Unknown Unknown Unknown
368 S82sub8_59.12_cand6653 Unknown Unknown Unknown Unknown
369 S82sub8_59.12_cand6964 Unknown Unknown Unknown Unknown
370 S82sub8_59.12_cand1195 Unknown Unknown Unknown Unknown
371 S82sub8_59.12_cand6019 Unknown Unknown Unknown Unknown
372 S82sub8_59.12_cand2798 Unknown Unknown Unknown Unknown
